RUN,Group_RUN,path
Research-mrdgw-all-batch2,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch2/FLEN.csv
Research-mrdgw-all-batch4,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch4/FLEN.csv
Research-mrdgw-all-batch3,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch3/FLEN.csv
Research-mrdgw-all-batch6,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch6/FLEN.csv
Research-mrdgw-all-batch5,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch5/FLEN.csv
Research-mrdgw-all-060624,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-060624/FLEN.csv
Research-mrdgw-all-29042024-4,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-29042024-4/FLEN.csv
Research-mrdgw-all-240524,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-240524/FLEN.csv
Research-mrdgw-all-030624,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-030624/FLEN.csv
Research-mrdgw-all-batch1,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-batch1/FLEN.csv
Research-mrdgw-all-06052024,06062024,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/06062024/Research-mrdgw-all-06052024/FLEN.csv
S0037,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/S0037/S0037.FLEN.csv
R5515,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5515/R5515.FLEN.csv
R5444,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5444/R5444.FLEN.csv
R5504,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5504/R5504.FLEN.csv
S0033,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/S0033/S0033.FLEN.csv
R5453,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5453/R5453.FLEN.csv
R5369,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5369/R5369.FLEN.csv
R5237,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5237/R5237.FLEN.csv
R5669,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5669/R5669.FLEN.csv
R5670,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5670/R5670.FLEN.csv
R5292,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5292/R5292.FLEN.csv
R5645,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5645/R5645.FLEN.csv
R5413,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5413/R5413.FLEN.csv
R5318,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5318/R5318.FLEN.csv
Test-MRDGW,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/Test-MRDGW/Test-MRDGW.FLEN.csv
R5540,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5540/R5540.FLEN.csv
R5683,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5683/R5683.FLEN.csv
R5608,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5608/R5608.FLEN.csv
R5523,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5523/R5523.FLEN.csv
R5633,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5633/R5633.FLEN.csv
R5462,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5462/R5462.FLEN.csv
R5534,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5534/R5534.FLEN.csv
R5487,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5487/R5487.FLEN.csv
R5662,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5662/R5662.FLEN.csv
R5679,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5679/R5679.FLEN.csv
R5706,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5706/R5706.FLEN.csv
R5550,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5550/R5550.FLEN.csv
R5255,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5255/R5255.FLEN.csv
R5438,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5438/R5438.FLEN.csv
R5593,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5593/R5593.FLEN.csv
R5571,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5571/R5571.FLEN.csv
R5698,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5698/R5698.FLEN.csv
R5615,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5615/R5615.FLEN.csv
R5700,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5700/R5700.FLEN.csv
R5674,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5674/R5674.FLEN.csv
R5640,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5640/R5640.FLEN.csv
R5609,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5609/R5609.FLEN.csv
R5563,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5563/R5563.FLEN.csv
R5649,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5649/R5649.FLEN.csv
R5422,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5422/R5422.FLEN.csv
R5562,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5562/R5562.FLEN.csv
R5656i2,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5656i2/R5656i2.FLEN.csv
R5257,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5257/R5257.FLEN.csv
R5498,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5498/R5498.FLEN.csv
R5479,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5479/R5479.FLEN.csv
R5473,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5473/R5473.FLEN.csv
R5690,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5690/R5690.FLEN.csv
R5589,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5589/R5589.FLEN.csv
R5565,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5565/R5565.FLEN.csv
R5687,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5687/R5687.FLEN.csv
R5298,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5298/R5298.FLEN.csv
R5362,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5362/R5362.FLEN.csv
R5644,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5644/R5644.FLEN.csv
R5607,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5607/R5607.FLEN.csv
R5472,cmc_MRD,/media/hieunguyen/GSHD_HN01/storage/gs-mrd/cmc_MRD/R5472/R5472.FLEN.csv
