SampleID,ichorCNA
6-MDGAAA31,0.00765
7-QCAE60,0.07855
9-LABJ97,0.01158
15-KABF76,0.0
3-MDGAAA18,0.01272
3-YCAB67,0.01141
5-QCAC36,0.01029
18-KABH35,0.008841
8-LABV93,0.06046
17-KABG66,0.0
13-MUGAAA68,0.03832
10-HMAAAA04,0.04383
11-QCAA59,0.009648
16-ZTKL19A,0.03557
1-HMAAAA02,0.006499
1-QCAB27,0.01066
13-ZTKL17A,0.0504
6-MYCAAA01,0.007582
9-ZIL102A,0.02537
4-QCAE86,0.005335
5-QHAA88,0.01322
2-MQGAAA71,0.01116
15-ZTKL18A,0.381
7-HMGAAA04,0.01329
2-MUGAAA56,0.009024
12-QHAA17,0.01097
12-MUGAAA12,0.01116
11-ZIL104A,0.1107
16-MUGAAA65,0.008121
13-KABF68,0.01427
14-KABF69,0.01055
10-QHAA63,0.00905
7-MQAAAA51,0.01998
8-QHAC16,0.3417
14-QCAF27,0.004421
9-MUGAAA21,0.005893
10-ZIL103A,0.3646
12-ZTKL06B,0.01302
16-KABG60,0.006654
14-ZTKL07B,0.01075
8-MDAAAA16,0.006354
4-QNAA01,0.01088
15-MUAAAA11,0.01221
11-UHAA30,0.008677
12-KABF65,0.01007
4-KABB88,0.007559
5-KABA97,0.01027
13-MDCAAA11,0.01935
2-KABF57,0.009412
8-KABF11,0.0
5-ZTKL15A,0.01748
4-KABB98,0.009863
15-KABD50,0.009581
14-KABB30,0.007139
3-KABF62,0.008716
6-KABE42,0.01404
8-ZTKL04B,0.01259
6-ZTKL01B,0.08287
13-KABC54,0.008805
3-ZIL01A,0.05004
2-ZTKL16A,0.005948
11-KABF33,0.0117
1-KABF53,0.004817
7-ZTKL03B,0.005463
10-KABF18,0.01075
7-KABE82,0.01501
4-ZMH062A,0.1892
16-ZMH062B,0.04932
16-KABB91,0.01117
12-QHAA87,0.02512
2-QCAF61,0.01197
9-KABF13,0.0138
3-MECAAA20,0.0124
5-ZMH054A,0.1831
11-KABF96,0.01545
1-ZTKL14A,0.01093
9-KABF90,0.007705
10-KABG07,0.0
1-QCAE05,0.1558
1-MECAAA17,0.0
5-HMAAAA09,0.01359
7-HMAAAA23,0.0104
6-HMAAAA19,0.006541
3-HMAAAA30,0.007589
8-HHAA10,0.1544
2-MEGAAA07,0.01163
3-QCAD83,0.1404
8-HMAAAA28,0.0364
7-QCAB83,0.3317
9-HMAAAA05,0.08561
5-MEGAAA06,0.5088
4-QCAD68,0.2015
4-QCAC99,0.04644
6-MDGAAA36,0.2275
11-MQCAAA05,0.007417
8-ZMG107A,0.009187
7-HMGAAA01,0.009626
13-U3AA05,0.0
12-MUGAAA57,0.01454
3-ZMG094A,0.01334
16-ZMH021C,0.00901
10-U3AA02,0.006573
11-MUGAAA01,0.0138
10-Q3AA48,0.008412
10-UHAA47,0.005644
4-Q3AA14,0.01048
15-ZMH021B,0.009572
1-ZXG27,0.03638
4-ZXG04,0.007333
12-Q3AA19,0.03711
1-HAAA35,0.0563
13-ZMH010C,0.03138
2-Q3AA09,0.04957
2-ZMG007A,0.01348
3-MQCAAA59,0.01606
6-ZMH054B,0.01343
7-MQCAAA20,0.005428
1-MQCAAA02,0.005912
15-ZMB576B,0.01081
6-MDAAAA13,0.008446
6-MDGAAA10,0.009918
14-ZMB576A,0.009934
6-QHAB49,0.01342
8-ZMH003A,0.0295
5-ZXG07,0.01305
5-MDGAAA17,0.01072
12-ZMH010B,0.006109
9-MECAAA19,0.01608
9-ZMH003B,0.007265
3-Q3AA13,0.08662
5-QHAA99,0.01439
9-Q3AA05,0.3726
8-MECAAA13,0.008522
14-ZMH021A,0.01304
7-HMAAAA06,0.008079
11-ZMH010A,0.03183
2-MDAAAA01,0.02248
4-QHAA62,0.01587
10-ZMH003C,0.01233
9-HHAA01,0.006109
7-ZMH054C,0.1567
8-MECAAA03,0.0
10-ZNAB02C,0.01294
9-ZNAB08B,0.01187
6-ZNAB04A,0.01519
8-ZNAB07B,0.006457
7-ZNAB06B,0.007726
1-MLAA29,0.004627
5-MDAAAA03,0.2376
6-ZTKL01A,0.07083
3-UCAA34,0.01323
5-KABF22,0.008329
6-KABD34,0.01119
11-ZTKL10A,0.004402
5-MUGAAA42,0.008625
9-QCAA56,0.0157
8-HACAAA01,0.03539
6-ZTKL11A,0.006727
1-MDGAAA26,0.006793
4-QHAB51,0.04402
2-UCAA82,0.01223
1-HMAAAA18,0.00641
2-HMAAAA13,0.007884
8-KABB36,0.006385
11-MUGAAA53,0.01242
7-UCAA21,0.007313
4-MUGAAA10,0.01243
10-UCAA78,0.01211
3-UHAA52,0.01249
8-ZTKL07A,0.03795
4-UCAA49,0.009721
3-QCAB92,0.008048
8-ZTKL13A,0.01284
3-UCAA23,0.006385
2-UCAA04,0.003863
7-ZTKL05A,0.01102
2-ZTKL03A,0.01979
9-UCAA53,0.0142
9-MUCAAA04,0.01077
2-UCAA22,0.01282
6-QCAA27,0.01092
3-ZTKL04A,0.01501
5-ZTKL09A,0.04377
7-UCAA16,0.01225
1-ZTKL02A,0.01153
10-UCAB01,0.05737
10-ZTKL06A,0.01621
6-MLAA85,0.01328
4-HMAA07,0.01102
8-UCAA31,0.01194
9-UCAA46,0.009236
1-QCAA30,0.01087
7-ZTKL12A,0.009531
2-MEBAAA02,0.008505
1-QCAA50,0.0
4-ZTKL08A,0.03555
7-MUGAAA38,0.5345
5-QHAB28,0.4543
12-UCAA26,0.0889
16-MUGAAA02,0.008435
19-KABH62,0.0104
3-U3AA04,0.0
5-ZMG002A,0.006456
1-ZMG058A,0.0
14-MDGAAA27,0.01016
8-ZMG068A,0.005518
3-ZMG103A,0.0193
8-HMAA03,0.01189
12-ZMG102A,0.01047
13-MECAAA15,0.0262
9-QCAA02,0.01193
1-MQCAAA48,0.01023
12-MDGAAA24,0.008864
16-YCAA54,0.01264
20-KABH63,0.01021
4-YCAB01,0.007285
2-YCAA77,0.01294
22-KABG35,0.01291
11-QCAB64,0.2118
10-ZMG086A,0.0
15-HMAAAA35,0.01854
11-ZMG086B,0.006771
6-ZMG067A,0.005384
15-ZMG117A,0.0
7-MDAAAA15,0.02836
7-HMGAAA08,0.01
6-HMAA06,0.067
5-QCAA94,0.0
6-ZMG044A,0.01226
21-KABG32,0.009194
2-Q3AA08,0.06853
1-QCAA40,0.006807
8-HMAA04,0.01306
9-ZMG068B,0.005716
13-QHAA80,0.006087
