,feature_combinations,SEN_Train,SPEC_Train,NMF_EM_1,NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA
0,NMF_EM_1,0.03816793893129771,0.9882352941176471,1,0,0,0,0,0,0,0,0,0,0
1,NMF_FLEN_1,0.3511450381679389,0.8941176470588236,0,1,0,0,0,0,0,0,0,0,0
2,NMF_NUCLEOSOME_2,0.14885496183206107,1.0,0,0,1,0,0,0,0,0,0,0,0
3,EM_score,0.17557251908396945,0.9529411764705882,0,0,0,1,0,0,0,0,0,0,0
4,FLEN_score,0.15648854961832062,0.9764705882352941,0,0,0,0,1,0,0,0,0,0,0
5,NUCLEOSOME_score,0.27099236641221375,0.9647058823529412,0,0,0,0,0,1,0,0,0,0,0
6,EM_shannon,0.2633587786259542,0.9294117647058824,0,0,0,0,0,0,1,0,0,0,0
7,OT_EM,0.20610687022900764,0.9294117647058824,0,0,0,0,0,0,0,1,0,0,0
8,OT_FLEN,0.15267175572519084,0.9882352941176471,0,0,0,0,0,0,0,0,1,0,0
9,OT_NUCLEOSOME,0.16030534351145037,0.9882352941176471,0,0,0,0,0,0,0,0,0,1,0
10,ichorCNA,0.40458015267175573,0.9647058823529412,0,0,0,0,0,0,0,0,0,0,1
11,"NMF_EM_1,NMF_FLEN_1",0.35877862595419846,0.8823529411764706,1,1,0,0,0,0,0,0,0,0,0
12,"NMF_EM_1,NMF_NUCLEOSOME_2",0.16412213740458015,0.9882352941176471,1,0,1,0,0,0,0,0,0,0,0
13,"NMF_EM_1,EM_score",0.20229007633587787,0.9411764705882353,1,0,0,1,0,0,0,0,0,0,0
14,"NMF_EM_1,FLEN_score",0.17557251908396945,0.9647058823529412,1,0,0,0,1,0,0,0,0,0,0
15,"NMF_EM_1,NUCLEOSOME_score",0.2824427480916031,0.9529411764705882,1,0,0,0,0,1,0,0,0,0,0
16,"NMF_EM_1,EM_shannon",0.2786259541984733,0.9176470588235294,1,0,0,0,0,0,1,0,0,0,0
17,"NMF_EM_1,OT_EM",0.21374045801526717,0.9176470588235294,1,0,0,0,0,0,0,1,0,0,0
18,"NMF_EM_1,OT_FLEN",0.16793893129770993,0.9764705882352941,1,0,0,0,0,0,0,0,1,0,0
19,"NMF_EM_1,OT_NUCLEOSOME",0.18702290076335878,0.9764705882352941,1,0,0,0,0,0,0,0,0,1,0
20,"NMF_EM_1,ichorCNA",0.4122137404580153,0.9529411764705882,1,0,0,0,0,0,0,0,0,0,1
21,"NMF_FLEN_1,NMF_NUCLEOSOME_2",0.36259541984732824,0.8941176470588236,0,1,1,0,0,0,0,0,0,0,0
22,"NMF_FLEN_1,EM_score",0.3702290076335878,0.8941176470588236,0,1,0,1,0,0,0,0,0,0,0
