SampleID,ichorCNA
7-ZMC057,0.02177
6-ZMC071A,0.01136
6-MDGAAA16,0.01741
3-MQAAAA19,0.3859
1-HAAA31,0.09142
15-MDGAAB43,0.0
4-ZMC006A,0.006669
12-ZNAB09A,0.0
1-YCAB14,0.01085
2-HMAAAA16,0.1093
6-HAGAAA11,0.1814
2-HAAAAA27,0.006357
3-HHAA22,0.3499
7-ZIL105A,0.008167
10-ZNAB06A,0.03266
16-ZMB596A,0.006822
2-MUAAAA44,0.01012
8-ZMC005,0.009836
8-ZIL106A,0.1004
3-ZTKL09B,0.01072
12-ZMH056A,0.3258
4-HMAA08,0.05268
15-ZMB581A,0.007871
11-ZMH047D,0.00805
7-ZMC046A,0.01808
4-HAGAAA18,0.6829
14-MUGAAA67,0.008218
14-ZMH056D,0.04149
11-ZNAB08A,0.01202
9-MDGAAB39,0.008224
1-QCAD47,0.007813
1-ZMC031,0.02332
10-ZMH047B,0.008121
13-UHAA49,0.009723
6-ZMC006C,0.01148
16-ZMG117B,0.006111
2-ZTKL05B,0.006043
5-HMAAAA27,0.2263
13-U3AA05,0.0
11-MQCAAA05,0.007417
1-ZXG27,0.03638
4-Q3AA14,0.01048
14-ZMB576A,0.009934
16-ZMH021C,0.00901
7-HMGAAA01,0.009626
8-MECAAA03,0.0
8-ZMG107A,0.009187
10-U3AA02,0.006573
15-ZMH021B,0.009572
3-ZMG094A,0.01334
6-MDGAAA10,0.009918
10-UHAA47,0.005644
2-Q3AA09,0.04957
10-Q3AA48,0.008412
1-HAAA35,0.0563
13-ZMH010C,0.03138
5-MDGAAA17,0.01072
4-QHAA62,0.01587
3-Q3AA13,0.08662
2-MDAAAA01,0.02248
7-MQCAAA20,0.005428
1-MQCAAA02,0.005912
8-MECAAA13,0.008522
11-ZMH010A,0.03183
6-QHAB49,0.01342
6-MDAAAA13,0.008446
12-ZMH010B,0.006109
5-QHAA99,0.01439
9-MECAAA19,0.01608
9-ZMH003B,0.007265
8-ZMH003A,0.0295
12-KABF65,0.01007
4-KABB88,0.007559
5-KABA97,0.01027
5-ZTKL15A,0.01748
8-KABF11,0.0
14-KABB30,0.007139
4-KABB98,0.009863
15-KABD50,0.009581
8-ZTKL04B,0.01259
3-KABF62,0.008716
13-KABC54,0.008805
4-ZMH062A,0.1892
6-KABE42,0.01404
11-KABF33,0.0117
16-ZMH062B,0.04932
12-QHAA87,0.02512
2-QCAF61,0.01197
11-KABF96,0.01545
9-KABF13,0.0138
5-ZMH054A,0.1831
1-ZTKL14A,0.01093
10-KABG07,0.0
7-HMAAAA23,0.0104
3-QCAD83,0.1404
8-HHAA10,0.1544
2-MEGAAA07,0.01163
5-MEGAAA06,0.5088
8-HMAAAA28,0.0364
4-QCAC99,0.04644
6-MDGAAA36,0.2275
4-QCAD68,0.2015
5-ZMG002A,0.006456
8-HMAA03,0.01189
14-MDGAAA27,0.01016
1-ZMG058A,0.0
12-UCAA26,0.0889
12-MDGAAA24,0.008864
22-KABG35,0.01291
2-YCAA77,0.01294
4-YCAB01,0.007285
13-MECAAA15,0.0262
1-MQCAAA48,0.01023
19-KABH62,0.0104
9-QCAA02,0.01193
3-ZMG103A,0.0193
20-KABH63,0.01021
9-ZMG068B,0.005716
16-YCAA54,0.01264
10-ZMG086A,0.0
11-ZMG086B,0.006771
8-ZMG068A,0.005518
7-HMGAAA08,0.01
10-HMAA02,0.01045
9-ZXG01,0.01067
15-QHAB92,0.01369
13-ZMG102B,0.0121
6-ZMG044A,0.01226
11-HMGAAA02,0.0
7-ZMG067B,0.01069
2-Q3AA08,0.06853
4-ZMG001A,0.003965
14-ZMG102C,0.007789
10-HMGAAA06,0.01115
14-MUGAAA46,0.02887
1-QCAA40,0.006807
7-QCAE60,0.07855
3-MDGAAA18,0.01272
6-MDGAAA31,0.00765
9-LABJ97,0.01158
17-KABG66,0.0
13-MUGAAA68,0.03832
14-ZTKL07B,0.01075
9-ZIL102A,0.02537
6-MYCAAA01,0.007582
1-QCAB27,0.01066
5-QHAA88,0.01322
15-KABF76,0.0
5-QCAC36,0.01029
8-LABV93,0.06046
1-HMAAAA02,0.006499
18-KABH35,0.008841
16-ZTKL19A,0.03557
2-MQGAAA71,0.01116
4-QNAA01,0.01088
12-MUGAAA12,0.01116
15-ZTKL18A,0.381
11-QCAA59,0.009648
4-QCAE86,0.005335
2-MUGAAA56,0.009024
7-HMGAAA04,0.01329
15-MUAAAA11,0.01221
12-QHAA17,0.01097
16-MUGAAA65,0.008121
11-UHAA30,0.008677
13-KABF68,0.01427
8-QHAC16,0.3417
7-MQAAAA51,0.01998
6-ZNAB04A,0.01519
10-ZNAB02C,0.01294
4-MQCAAA03,0.1769
5-MQAAAA18,0.4535
5-ZMC040A,0.01787
8-ZMC017A,0.01971
11-HMGAAA07,0.115
3-HAGAAA16,0.01156
10-MQGAAA01,0.4104
1-HAAA34,0.02035
6-ZMC079A,0.01291
15-HACAAA03,0.02731
2-HAAA32,0.009235
9-QCAF79,0.3123
2-HMDAAA08,0.01128
6-ZTKL21A,0.008542
7-ZTKL22A,0.01332
16-ZNAB05B,0.01208
15-ZNAB04B,0.01091
5-ZTKL20A,0.0898
10-ZNAB05A,0.006511
9-ZNAB03A,0.2667
14-ZNAB03B,0.006738
12-ZNAB01B,0.007424
4-ZTKL13B,0.01378
3-ZTKL08B,0.01032
1-MDBAAA11,0.01032
3-UCAA34,0.01323
1-MLAA29,0.004627
6-ZTKL01A,0.07083
11-ZTKL10A,0.004402
5-MUGAAA42,0.008625
8-HACAAA01,0.03539
5-KABF22,0.008329
9-QCAA56,0.0157
4-QHAB51,0.04402
2-UCAA82,0.01223
7-UCAA21,0.007313
4-MUGAAA10,0.01243
1-MDGAAA26,0.006793
3-UHAA52,0.01249
11-MUGAAA53,0.01242
1-HMAAAA18,0.00641
10-UCAA78,0.01211
4-UCAA49,0.009721
8-ZTKL13A,0.01284
8-ZTKL07A,0.03795
3-QCAB92,0.008048
9-UCAA53,0.0142
6-QCAA27,0.01092
3-ZTKL04A,0.01501
10-UCAB01,0.05737
7-UCAA16,0.01225
8-UCAA31,0.01194
2-MEBAAA02,0.008505
1-ZTKL02A,0.01153
9-UCAA46,0.009236
10-ZTKL06A,0.01621
