,feature_combinations,SEN,SPEC
0,"EM_score,FLEN_score",0.24,0.9523809523809523
1,"EM_score,NUCLEOSOME_score",0.24,0.9285714285714286
2,"EM_score,EM_shannon",0.26666666666666666,0.9523809523809523
3,"EM_score,OT_EM",0.16,0.9761904761904762
4,"EM_score,OT_FLEN",0.17333333333333334,0.9761904761904762
5,"EM_score,OT_NUCLEOSOME",0.17333333333333334,0.9761904761904762
6,"EM_score,ichorCNA",0.44,0.9523809523809523
7,"EM_score,NMF_EM_2",0.13333333333333333,0.9523809523809523
8,"EM_score,NMF_FLEN_1",0.4,0.9285714285714286
9,"EM_score,NMF_NUCLEOSOME_2",0.16,0.9761904761904762
10,"FLEN_score,NUCLEOSOME_score",0.29333333333333333,0.9285714285714286
11,"FLEN_score,EM_shannon",0.30666666666666664,0.9285714285714286
12,"FLEN_score,OT_EM",0.25333333333333335,0.9761904761904762
13,"FLEN_score,OT_FLEN",0.21333333333333335,0.9761904761904762
14,"FLEN_score,OT_NUCLEOSOME",0.26666666666666666,0.9761904761904762
15,"FLEN_score,ichorCNA",0.48,0.9523809523809523
16,"FLEN_score,NMF_EM_2",0.21333333333333335,0.9523809523809523
17,"FLEN_score,NMF_FLEN_1",0.38666666666666666,0.9047619047619048
18,"FLEN_score,NMF_NUCLEOSOME_2",0.21333333333333335,0.9761904761904762
19,"NUCLEOSOME_score,EM_shannon",0.29333333333333333,0.9285714285714286
20,"NUCLEOSOME_score,OT_EM",0.25333333333333335,0.9523809523809523
21,"NUCLEOSOME_score,OT_FLEN",0.21333333333333335,0.9523809523809523
22,"NUCLEOSOME_score,OT_NUCLEOSOME",0.21333333333333335,0.9523809523809523
23,"NUCLEOSOME_score,ichorCNA",0.4666666666666667,0.9285714285714286
24,"NUCLEOSOME_score,NMF_EM_2",0.21333333333333335,0.9285714285714286
25,"NUCLEOSOME_score,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
26,"NUCLEOSOME_score,NMF_NUCLEOSOME_2",0.21333333333333335,0.9523809523809523
27,"EM_shannon,OT_EM",0.28,0.9523809523809523
28,"EM_shannon,OT_FLEN",0.25333333333333335,0.9523809523809523
29,"EM_shannon,OT_NUCLEOSOME",0.28,0.9523809523809523
30,"EM_shannon,ichorCNA",0.44,0.9285714285714286
31,"EM_shannon,NMF_EM_2",0.24,0.9285714285714286
32,"EM_shannon,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
33,"EM_shannon,NMF_NUCLEOSOME_2",0.24,0.9523809523809523
34,"OT_EM,OT_FLEN",0.18666666666666668,1.0
35,"OT_EM,OT_NUCLEOSOME",0.18666666666666668,1.0
36,"OT_EM,ichorCNA",0.4266666666666667,0.9761904761904762
37,"OT_EM,NMF_EM_2",0.13333333333333333,0.9761904761904762
38,"OT_EM,NMF_FLEN_1",0.41333333333333333,0.9285714285714286
39,"OT_EM,NMF_NUCLEOSOME_2",0.17333333333333334,1.0
40,"OT_FLEN,OT_NUCLEOSOME",0.18666666666666668,1.0
41,"OT_FLEN,ichorCNA",0.4266666666666667,0.9761904761904762
42,"OT_FLEN,NMF_EM_2",0.13333333333333333,0.9761904761904762
43,"OT_FLEN,NMF_FLEN_1",0.38666666666666666,0.9285714285714286
44,"OT_FLEN,NMF_NUCLEOSOME_2",0.13333333333333333,1.0
45,"OT_NUCLEOSOME,ichorCNA",0.44,0.9761904761904762
