,Healthy
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,7.957125871911702e-08
61.0,9.697747156392379e-08
62.0,3.7607718692916017e-06
63.0,3.836545237174572e-06
64.0,6.861473706721621e-06
65.0,7.34027474467027e-06
66.0,1.4014892125262161e-05
67.0,2.0228164825161817e-05
68.0,2.409186590681081e-05
69.0,3.0818283621634196e-05
70.0,3.5433266061493215e-05
71.0,3.5254271454545296e-05
72.0,3.959942252915355e-05
73.0,6.0034401971408106e-05
74.0,6.749497345688648e-05
75.0,8.308076268216716e-05
76.0,9.624707814801458e-05
77.0,0.0001234564833966571
78.0,0.00014848608413018242
79.0,0.00020628995426243257
80.0,0.0002747513542207665
81.0,0.00030767763135407906
82.0,0.00028638829070886453
83.0,0.00025318859344119793
84.0,0.00025770448316495947
85.0,0.0002701271390296811
86.0,0.0002967239200972081
87.0,0.0003225775887106297
88.0,0.00037702081968820267
89.0,0.0004831519887856081
90.0,0.0006383946218326945
91.0,0.0007613555962704052
92.0,0.0007519350558335054
93.0,0.0006173415695294351
94.0,0.0005043188194099461
95.0,0.00046749745335473785
96.0,0.0004812837680038972
97.0,0.0005315979214600541
98.0,0.0006196019312277461
99.0,0.0007571624424117649
100.0,0.0008835970721715001
101.0,0.0009597675547787973
102.0,0.0009608973085197459
103.0,0.0009166873244478836
104.0,0.0008394562338006973
105.0,0.0007838816462964974
106.0,0.0007949662075027947
107.0,0.0008425633984152783
108.0,0.0009300156339420513
109.0,0.001092438158855946
110.0,0.0013174541918931325
111.0,0.0014950048486061702
112.0,0.0014721235374798595
113.0,0.0012667845677313218
114.0,0.0011071041745430027
115.0,0.0010890949636399563
116.0,0.001141166000621243
117.0,0.001220617202734992
118.0,0.0013323043731482541
119.0,0.0015595829045161646
120.0,0.0019863462923354405
121.0,0.002582789500434324
122.0,0.0029951526968055187
123.0,0.0028414086909044137
124.0,0.0022236814410266027
125.0,0.0017722364779600866
126.0,0.0016663386109266997
127.0,0.0017770546003439947
128.0,0.001957485860535567
129.0,0.0022350767116793785
130.0,0.0027147618690608784
131.0,0.003472049864618711
132.0,0.004523910359211767
133.0,0.005483962538362567
134.0,0.005612273374384366
135.0,0.004947184068825352
136.0,0.004384240225594141
137.0,0.0045058810673454346
138.0,0.005249601194277233
139.0,0.006422598089908817
140.0,0.007833765460704394
141.0,0.008886888116756426
142.0,0.009261766861621975
143.0,0.009194730729315998
144.0,0.00923818689142454
145.0,0.009333918253717273
146.0,0.009241783437174302
147.0,0.009307691546805393
148.0,0.009707928047849406
149.0,0.010355180096668413
150.0,0.011170659733519299
151.0,0.012143656191509972
152.0,0.012956325547303891
153.0,0.012989574263424014
154.0,0.012617995701927766
155.0,0.012657993669886423
156.0,0.013395839718091957
157.0,0.014671137019566073
158.0,0.01623497207140097
159.0,0.017839025566209688
160.0,0.019100024914812476
161.0,0.01995649093559122
162.0,0.02094720138165468
163.0,0.02275525232929797
164.0,0.025423795944993634
165.0,0.027762468072600473
166.0,0.02866202813322688
167.0,0.02849521843005541
168.0,0.027764669816031158
169.0,0.02661152860672532
170.0,0.02511040901014432
171.0,0.023527722946047963
172.0,0.022296061618297093
173.0,0.021587442219456958
174.0,0.021224478353543894
175.0,0.0208406001211587
176.0,0.020222838094016236
177.0,0.019160828929647804
178.0,0.01780846585734447
179.0,0.016316598082286877
180.0,0.01486296534059044
181.0,0.013532389667532488
182.0,0.012367511309649831
183.0,0.011408285082557885
184.0,0.010674115572269459
185.0,0.010113061445181797
186.0,0.009640353413906242
187.0,0.00917753460036587
188.0,0.008664783779442523
189.0,0.008062518622385384
190.0,0.007431122266173084
191.0,0.00678256131141991
192.0,0.006173908757709695
193.0,0.005658453842236148
194.0,0.0052212450742689905
195.0,0.00487824279156099
196.0,0.004597570019698388
197.0,0.004370578151131519
198.0,0.004152765967913638
199.0,0.003926189089621427
200.0,0.0036799566806740456
201.0,0.003422834485116878
202.0,0.003151428258699297
203.0,0.0028929278623486213
204.0,0.002668504068707232
205.0,0.002480127317992995
206.0,0.0023124641947129894
207.0,0.0021723424743904673
208.0,0.002051521670719992
209.0,0.0019338933541903542
210.0,0.0018147232458817133
211.0,0.0016905087870556217
212.0,0.0015637149045602218
213.0,0.0014383290154183026
214.0,0.0013182269939465674
215.0,0.001215553348739427
216.0,0.0011279817908388758
217.0,0.0010499613655734323
218.0,0.0009848373474626
219.0,0.0009208468773359433
220.0,0.0008649847305699892
221.0,0.0008084285982943972
222.0,0.000747051566276627
223.0,0.0006883824335203677
224.0,0.0006329859574425649
225.0,0.0005832128943321351
226.0,0.0005366089331100595
227.0,0.0004961337095852487
228.0,0.0004665782526061351
229.0,0.00043621264165236753
230.0,0.00040775649323215673
231.0,0.00038006766951881896
232.0,0.0003529331959733784
233.0,0.0003274403925932649
234.0,0.0003014197764490135
235.0,0.00027799062409772704
236.0,0.0002597096798176919
237.0,0.0002416489797312324
238.0,0.00022800153574965406
239.0,0.00021569343795390002
240.0,0.0002073943535587973
241.0,0.00019611752011273242
242.0,0.00018491714352287568
243.0,0.00017519037577267302
244.0,0.00016549587649365135
245.0,0.00015506774961724498
246.0,0.000143837612315577
247.0,0.0001366721206505891
248.0,0.00013232691713233977
249.0,0.00012692818242305477
250.0,0.00012018353697293099
251.0,0.00010983476585356877
252.0,0.00010258523645868635
253.0,9.328063837533469e-05
254.0,8.728423503856728e-05
255.0,8.129966608283226e-05
256.0,7.477771959969477e-05
257.0,6.416154586311667e-05
258.0,5.623430760360065e-05
259.0,5.353530092472868e-05
260.0,4.869788775903159e-05
261.0,4.881785551721181e-05
262.0,4.248321085650986e-05
263.0,3.282836214808564e-05
264.0,3.258327176723648e-05
265.0,3.12359491847203e-05
266.0,2.717570734992222e-05
267.0,2.6391959750477106e-05
268.0,2.338102989705257e-05
269.0,1.978207189855717e-05
270.0,1.4435811599368084e-05
271.0,1.50205629066271e-05
272.0,1.5543008157823995e-05
273.0,1.4083488774666598e-05
274.0,1.3333389618135815e-05
