SampleID,ichorCNA
HAAA35,0.0563
HACAAA01,0.03341
HAGAAA18,0.6829
HHAA01,0.006109
HHAA10,0.1544
HHAA22,0.3499
HMAA02,0.01045
HMAA04,0.01306
HMAAAA02,0.006499
HMAAAA18,0.00641
HMAAAA19,0.006541
HMAAAA23,0.0104
HMAAAA30,0.007589
HMAAAA35,0.01854
HMGAAA04,0.01329
HMGAAA08,0.01
KABA97,0.01027
KABB98,0.009863
KABD34,0.01119
KABF11,0.0
KABF22,0.008329
KABF33,0.0117
KABF53,0.004817
KABF65,0.01007
KABF69,0.01055
KABF76,0.0
KABG32,0.009194
KABG35,0.01291
KABG60,0.006654
KABH35,0.008841
MDAAAA01,0.02248
MDAAAA15,0.02836
MDCAAA11,0.01935
MDGAAA07,0.135
MDGAAA17,0.01072
MDGAAA24,0.008864
MDGAAA36,0.2275
MDGAAB45,0.008043
MECAAA03,0.0
MECAAA13,0.008522
MECAAA19,0.01608
MECAAA20,0.0124
MEGAAA06,0.5088
MLAA85,0.01553
MQAAAA51,0.01998
MQCAAA02,0.005912
MQCAAA03,0.1769
MQCAAA05,0.007417
MQCAAA20,0.005428
MQCAAA48,0.01023
MUAAAA11,0.01221
MUAAAA44,0.01012
MUCAAA04,0.01077
MUGAAA12,0.01116
MUGAAA46,0.02887
MUGAAA53,0.01446
MUGAAA56,0.009024
MUGAAA65,0.008121
MUGAAA68,0.03832
MYCAAA01,0.007582
Q3AA09,0.04957
Q3AA13,0.08662
Q3AA19,0.03711
QCAA56,0.0157
QCAA59,0.009648
QCAB64,0.2118
QCAB83,0.3317
QCAE05,0.1558
QCAE60,0.07855
QCAF27,0.004421
QHAA63,0.00905
QHAA80,0.006087
QHAA99,0.01439
QHAB28,0.4554
QHAB92,0.01369
UCAA26,0.0889
UCAA31,0.01194
UCAA34,0.01323
UCAA53,0.0142
UCAB01,0.05949
YCAA77,0.01294
YCAB06,0.4026
YCAB67,0.005645
ZIL01A,0.05004
ZIL103A,0.3646
ZIL104A,0.1107
ZIL105A,0.008167
ZMB576A,0.009934
ZMB581A,0.007871
ZMB596A,0.006822
ZMB602A,0.0
ZMC006C,0.01148
ZMC031,0.02332
ZMC046B,0.01438
ZMC057,0.02177
ZMG001A,0.003965
ZMG007A,0.01348
ZMG044A,0.01226
ZMG058A,0.0
ZMG067A,0.005384
ZMG067B,0.01069
ZMG068A,0.005518
ZMG085A,0.01231
ZMG086B,0.006771
ZMG107A,0.009187
ZMH010A,0.03183
ZMH010C,0.03138
ZMH056A,0.3258
ZMH056D,0.04149
ZMH062A,0.1892
ZMH062B,0.04932
ZNAB06A,0.03266
ZTKL02A,0.01153
ZTKL03A,0.01606
ZTKL08A,0.03555
ZTKL09A,0.04377
ZTKL13A,0.01284
ZTKL14A,0.01093
ZTKL18A,0.381
ZXG01,0.01067
ZXG04,0.007333
ZXG07,0.01305
ZXG27,0.03638
ZMB010A,0.02245
ZMB036C,0.008963
ZMC111A,0.005566
ZMC120A,0.01033
ZMG013A,0.008424
MPAA15,0.01511
YHAA03,0.01522
MEAAAA35,0.2078
MECAAA37,0.04447
MEBAAA12,0.05831
MECAAA41,0.1005
MDAAAC38,0.2843
MECAAA46,0.03947
MECAAA47,0.79
MEKAAA10,0.007948
MECAAA53,0.12
MECAAA54,0.1248
MECAAA57,0.0128
MEDAAA10,0.01242
MEGAAA31,0.005587
MEAAAA40,0.03777
MEDAAA12,0.01808
MEAAAA43,0.4006
MECAAA58,0.0536
MEGAAA35,0.4407
MECAAA59,0.01201
MDCAAB74,0.02842
MEAAAA44,0.01407
MEBAAA42,0.2266
MEDAAA20,0.1074
MECAAA60,0.1441
MEDAAA21,0.299
MEGAAA37,0.01432
MEBAAA47,0.1114
MECAAA64,0.01266
MEBAAA50,0.06198
MECAAA65,0.0162
MECAAA67,0.01205
MECAAA68,0.01513
MEDAAA24,0.01321
MECAAA70,0.1496
MEBAAA57,0.03794
MDBAAA20,0.2671
ZMB001NB,0.01129
ZMB012NB,0.009587
ZMB013NB,0.01
ZMB014NB,0.0116
MB023NB,0.006009
ZMB026NB,0.03009
ZMB027NB,0.01484
ZMB028NB,0.01458
ZMB033NB,0.006745
ZMB034NB,0.008466
ZMB035NB,0.006458
ZMB037NB,0.006383
ZMB038NB,0.009253
ZMB043NB,0.01018
