SampleID,ichorCNA
HAAA31,0.09142
HAGAAA11,0.1814
HAGAAA15,0.3245
HMAA03,0.01189
HMAA06,0.067
HMAA07,0.01102
HMAA08,0.05268
HMAAAA04,0.04383
HMAAAA06,0.008079
HMAAAA09,0.01359
HMAAAA13,0.007884
HMAAAA16,0.1093
HMAAAA28,0.0364
HMGAAA01,0.009626
HMGAAA02,0.0
HMGAAA06,0.01115
KABB30,0.007139
KABB88,0.007559
KABB91,0.01117
KABC54,0.008805
KABD50,0.009581
KABE42,0.01404
KABE82,0.01501
KABF13,0.0138
KABF57,0.009412
KABF62,0.008716
KABF68,0.01427
KABF96,0.01545
KABG07,0.0
KABG66,0.0
KABH62,0.0104
KABH63,0.01021
LABJ97,0.01158
MDAAAA13,0.008446
MDAAAA16,0.006354
MDGAAA16,0.01741
MDGAAA26,0.006793
MDGAAB39,0.008224
MDGAAB43,0.0
MECAAA15,0.0262
MEGAAA07,0.01163
MQAAAA18,0.4535
MQAAAA19,0.3859
MUGAAA02,0.008435
MUGAAA38,0.5345
MUGAAA57,0.01454
MUGAAA67,0.008218
Q3AA05,0.3726
Q3AA08,0.06853
QCAB92,0.008048
QCAC36,0.01029
QCAC99,0.04644
QCAD68,0.2015
QCAD83,0.1404
QCAF61,0.01197
QHAA62,0.01587
QHAA88,0.01322
QHAB49,0.01342
QHAB51,0.05167
QHAC16,0.3417
QNAA01,0.01088
UCAA16,0.01225
UCAA46,0.009236
UCAA82,0.01223
UHAA30,0.008677
YCAB01,0.007285
YCAB14,0.01085
ZIL102A,0.02537
ZIL106A,0.1004
ZMC005,0.009836
ZMC006A,0.006669
ZMG086A,0.0
ZMG093,0.02178
ZMG094A,0.01334
ZMG102C,0.007789
ZMG103A,0.0193
ZMG117A,0.0
ZMG117B,0.006111
ZMH003A,0.0295
ZMH021A,0.01304
ZMH047A,0.09913
ZMH054C,0.1567
ZNAB08A,0.01202
ZNAB09A,0.0
ZTKL04A,0.01353
ZTKL06A,0.01624
ZTKL10A,0.004402
ZTKL11A,0.006727
ZTKL12A,0.009531
ZTKL15A,0.01748
ZTKL16A,0.005948
ZTKL19A,0.03557
ZMB006A,0.01822
ZMB019A,0.01016
ZMB061A,0.1375
ZMC122A,0.01831
ZMG134A,0.0
ZMG162A,0.009366
YHAA02,0.005681
MECAAA38,0.05547
MECAAA42,0.01041
MEGAAA24,0.2196
MDCAAA93,0.06587
MECAAA45,0.006111
MECAAA49,0.0131
MDGAAF46,0.01309
MECAAA55,0.0233
MEDAAA18,0.01068
MECAAA61,0.01082
MEBAAA48,0.07824
MECAAA66,0.08128
MEDAAA23,0.1801
MDCAAB95,0.01428
MECAAA69,0.4605
MEDAAA15,0.01623
MDGAAF12,0.04154
MEBAAA34,0.1669
ZMB002NB,0.01209
ZMB003NB,0.01046
ZMB031NB,0.008855
ZMB039NB,0.00632
ZMB040NB,0.01615
ZMB042NB,0.01085
ZMB049NB,0.01455
ZMB053NB,0.0
ZMB059NB,0.02433
ZMB068NB,0.01168
ZMB077NB,0.009982
ZMB079A,0.01507
ZMB082NB,0.015
ZMB084NB,0.007992
ZMB092NB,0.008384
ZMB095NB,0.01411
ZMB098NB,0.0106
ZMB099NB,0.008579
ZMB104NB,0.005859
ZMB115NB,0.007703
ZMB124NB,0.006227
ZMB125NB,0.0115
ZMB130NB,0.006329
ZMB133NB,0.006979
ZMB134NB,0.01252
ZMB145NB,0.01909
ZMB149NB,0.005469
ZMB159NB,0.01346
ZMB161NB,0.0
ZMB163NB,0.04213
ZMB183NB,0.005567
ZMB202NB,0.008531
ZMB206NB,0.01124
ZMB210NB,0.01205
ZMB211A,0.006035
ZMC010NB,0.006264
ZMC017NB,0.01449
ZMC019NB,0.01414
ZMC021NB,0.01042
ZMC027NB,0.008474
ZMC034NB,0.02413
ZMC037NB,0.0149
ZMC039NB,0.00917
ZMC040NB,0.005164
ZMC042NB,0.01044
ZMC043NB,0.01436
ZMC047NB,0.0
ZMC051NB,0.005696
ZMC054NB,0.004628
ZMC056NB,0.02069
ZMC058NB,0.0
ZMC059NB,0.06024
ZMC069NB,0.01578
ZMC075NB,0.01087
ZMC079NB,0.009192
ZMC080NB,0.009124
ZMC082NB,0.01128
ZMC086NB,0.01327
ZMC110A,0.008578
ZMC114NB,0.08131
ZMC115A,0.03924
ZMC116NB,0.05411
ZMG014A,0.00628
ZMG019A,0.01075
ZMG027A,0.009796
ZMG031NB,0.01357
ZMG036A,0.01107
ZMG038A,0.01444
ZMG039A,0.01284
ZMG048A,0.01751
ZMG051A,0.0121
ZMG059NB,0.005408
ZMG061A,0.01343
ZMG065NB,0.0131
ZMG076A,0.01315
ZMG084A,0.0665
ZMG090A,0.01114
ZMG096NB,0.01014
ZMG099A,0.0144
ZMG109NB,0.01236
ZMG112A,0.01653
ZMG118A,0.02233
ZMG119A,0.01047
ZMG120NB,0.01176
ZMG122A,0.006664
ZMG131NB,0.008949
ZMG136NB,0.01213
ZMG142NB,0.0058
ZMG144NB,0.01107
ZMG147A,0.009208
ZMG154A,0.006631
ZMG158A,0.008286
ZMH002NB,0.08733
ZMH005A,0.1698
ZMH007NB,0.2666
ZMH012A,0.09935
ZMH015A,0.06893
ZMH019NB,0.009448
ZMH026NB,0.005282
ZMH027NB,0.1848
ZMH029NB,0.08348
MH030NB,0.2033
ZMH033A,0.04786
ZMH036NB,0.1359
ZMH038NB,0.1899
ZMH041A,0.231
ZMH044NB,0.06592
ZMH045A,0.1103
ZMH053NB,0.1135
ZMH055A,0.1404
ZL11979NB,0.01887
L12401NB,0.01848
L12924,0.009546
L12930,0.0
L12964,0.008047
ZL12997NB,0.008402
ZL13200NB,0.0145
ZNL27NB,0.01007
ZNL36,0.008242
ZNL34,0.04043
ZNL42,0.009445
ZNL49,0.01618
ZNL50NB,0.02914
ZNL53,0.04018
ZYCAA14NB,0.005658
ZYCAB05NB,0.005074
ZYCAB02NB,0.00659
ZK0AAAK41NB,0.006812
ZK0AAAJ11NB,0.01093
ZK0AAAK31NB,0.006546
ZK0AAAK63NB,0.007633
ZK0AAAK49NB,0.008928
ZK0AAAI57NB,0.01135
ZK0AAAH75NB,0.01254
ZK0AAAL74NB,0.008155
ZK0AAAK11NB,0.009652
ZK0AAAH56NB,0.01096
ZK0AAAK51NB,0.01261
ZK0AAAH48NB,0.006085
ZK0AAAK62NB,0.00662
ZK0AAAI13NB,0.01019
ZK0AAAI33NB,0.0
ZK0AAAH89NB,0.01012
ZK0AAAH69NB,0.005254
ZK0AAAI95NB,0.01173
ZK0AAAK81NB,0.01265
ZK0AAAI37NB,0.01358
ZK0AAAB60NB,0.0
ZK0AAAJ12NB,0.00621
ZK0AAAK83NB,0.005583
ZK0AAAF64NB,0.005006
ZK0AAAI46NB,0.005311
ZK0AAAK69NB,0.008654
ZK0AAAF80NB,0.01022
ZK0AAAL47NB,0.007777
ZK0AAAI25NB,0.01211
ZK0AAAG36NB,0.005974
ZK0AAAK58NB,0.01109
ZK0AAAK29NB,0.005518
ZK0AAAI32NB,0.01268
ZK0AAAI96NB,0.01144
ZK0AAAI97NB,0.01417
ZK0AAAI22NB,0.003859
ZK0AAAI65NB,0.01169
ZK0AAAL87NB,0.008035
ZK0AAAH42NB,0.005341
ZK0AAAI52NB,0.0121
ZK0AAAL49NB,0.008216
ZK0AAAK10NB,0.009086
ZK0AAAI45NB,0.01037
ZK0AAAL66NB,0.0
ZK0AAAI07NB,0.151
ZK0CAAD73NB,0.01074
ZK0AAAH95NB,0.01103
ZK0AAAH93NB,0.009084
ZK0AAAL55NB,0.01049
ZK0AAAJ09NB,0.008342
ZK0AAAG35NB,0.007954
ZK0AAAK64NB,0.006413
ZK0AAAJ05NB,0.007254
ZK0AAAH68NB,0.01215
ZK0AAAH77NB,0.007012
ZK0AAAL77NB,0.009352
ZK0AAAH74NB,0.008605
ZK0AAAH45NB,0.01171
ZK0AAAJ07NB,0.00804
ZK0AAAJ03NB,0.01161
ZK0AAAJ04NB,0.0
ZK0AAAH90NB,0.004056
ZK0AAAF65NB,0.005696
ZK0AAAK02NB,0.0
ZK0AAAI49NB,0.007519
ZK0AAAI34NB,0.0111
ZK0AAAL56NB,0.008942
ZK0AAAK35NB,0.00684
ZK0AAAI78NB,0.01159
ZK0AAAK24NB,0.004462
ZK0AAAH76NB,0.006367
ZK0AAAH64NB,0.01335
ZK0AAAI77NB,0.01284
ZK0AAAH39NB,0.01122
ZK0DAAA38NB,0.008295
ZK0AAAK36NB,0.009237
ZK0AAAI44NB,0.01507
ZK0AAAI99NB,0.0111
ZK0AAAH46NB,0.011
ZK0AAAI42NB,0.0
ZK0AAAL67NB,0.004164
ZK0AAAI14NB,0.01082
ZK0AAAK06NB,0.004782
ZK0AAAG38NB,0.006378
ZK0AAAI17NB,0.005465
ZK0AAAI54NB,0.009893
ZK0AAAL43NB,0.007157
ZK0AAAJ02NB,0.0109
ZK0AAAK76NB,0.00882
ZK0AAAH62NB,0.007895
ZK0DAAA29NB,0.007918
ZK0AAAH85NB,0.0106
ZK0AAAI68NB,0.01231
ZK0AAAK73NB,0.01054
ZK0AAAH66NB,0.01314
ZK0AAAL61NB,0.01077
ZK0AAAH73NB,0.0
ZK0AAAI12NB,0.01023
ZK0AAAH60NB,0.009367
ZK0AAAI56NB,0.008914
ZK0AAAI35NB,0.01174
ZK0AAAK48NB,0.01423
ZK0AAAI18NB,0.01358
ZK0AAAG31NB,0.008467
ZK0AAAH96NB,0.008896
ZK0AAAI20NB,0.009358
ZK0AAAK50NB,0.004667
ZK0AAAK08NB,0.006817
ZK0AAAK20NB,0.004917
ZK0AAAH72NB,0.01092
ZK0AAAH47NB,0.01067
ZK0AAAI31NB,0.01016
ZK0AAAL63NB,0.008545
ZK0AAAL76NB,0.01105
ZK0AAAI29NB,0.006704
ZK0AAAJ08NB,0.004641
ZK0AAAK37NB,0.01003
ZK0AAAH61NB,0.00794
ZK0AAAK57NB,0.01162
ZK0AAAI86NB,0.00567
ZK0AAAH98NB,0.007507
ZK0AAAL54NB,0.006779
ZK0AAAH44NB,0.005843
ZK0AAAI47NB,0.0
ZK0AAAI94NB,0.01223
K0AAAA03NB,0.01373
K0AAAA08NB,0.00414
ZK0AAAA12NB,0.009733
ZK0AAAA13NB,0.0
ZK0AAAA15NB,0.004177
ZK0AAAA19NB,0.003976
ZK0AAAA25NB,0.007318
ZK0AAAA29NB,0.008627
ZK0AAAA31NB,0.006361
ZK0AAAA37NB,0.007367
ZK0AAAA41NB,0.01738
ZK0AAAA44NB,0.005496
ZK0AAAA49NB,0.009202
ZK0AAAA51NB,0.01204
ZK0AAAA53NB,0.0
ZK0AAAA54NB,0.00679
ZK0AAAA56NB,0.01021
ZK0AAAA58NB,0.009694
ZK0AAAA59NB,0.005546
ZK0AAAA61NB,0.006792
ZK0AAAA62NB,0.0126
ZK0AAAA63NB,0.01067
ZK0AAAA70NB,0.005079
ZK0AAAA71NB,0.02579
ZK0AAAA74NB,0.007608
ZK0AAAA82NB,0.01035
ZK0AAAA86NB,0.004454
ZK0AAAA88NB,0.0116
ZK0AAAA90NB,0.01177
ZK0AAAA93NB,0.00399
ZK0AAAA98NB,0.008741
ZK0AAAA99NB,0.01243
ZK0AAAB03NB,0.01262
ZK0AAAB04NB,0.007284
ZK0AAAB09NB,0.009097
ZK0AAAB10NB,0.006641
ZK0AAAB12NB,0.00595
ZK0AAAB19NB,0.007245
ZK0AAAB20NB,0.006503
ZK0AAAB23NB,0.01035
ZK0AAAB41NB,0.005427
ZK0AAAB42NB,0.009991
ZK0AAAB43NB,0.006748
ZK0AAAB46NB,0.00916
ZK0AAAB47NB,0.00992
ZK0AAAB54NB,0.007881
ZK0AAAB55NB,0.01274
ZK0AAAE80NB,0.005629
ZK0AAAE81NB,0.005011
ZK0AAAE85NB,0.009664
ZK0AAAE91NB,0.01007
ZK0AAAB58NB,0.01137
ZK0AAAB59NB,0.01257
ZK0AAAB62NB,0.00976
ZK0AAAB63NB,0.006569
ZK0AAAB71NB,0.01104
ZK0AAAB72NB,0.005115
ZK0AAAD18NB,0.01531
ZK0AAAD20NB,0.01047
ZK0AAAD23NB,0.00583
ZK0AAAD31NB,0.01181
ZK0AAAD36NB,0.011
ZK0AAAD45NB,0.01336
ZK0AAAD47NB,0.0108
ZK0AAAD48NB,0.006145
ZK0AAAF10NB,0.01608
ZK0AAAF12NB,0.006915
ZK0AAAF13NB,0.004791
ZK0AAAF18NB,0.0
ZK0AAAF21NB,0.006683
ZK0AAAF31NB,0.0
ZK0AAAF33NB,0.01261
ZK0AAAF35NB,0.01
ZK0AAAF42NB,0.006192
ZK0AAAF43NB,0.05336
ZK0AAAF46NB,0.01225
ZK0AAAF47NB,0.01152
ZK0AAAF50NB,0.01124
ZK0CAAA04NB,0.009123
ZK0CAAA05NB,0.01143
ZK0CAAA15NB,0.01056
ZK0CAAA16NB,0.009121
ZK0CAAA17NB,0.005472
ZK0CAAA25NB,0.01056
ZK0CAAA26NB,0.01069
ZK0CAAA27NB,0.007205
ZK0CAAA28NB,0.03867
ZK0CAAA29NB,0.008215
ZK0CAAA34NB,0.007384
ZK0CAAA36NB,0.007185
ZK0CAAA38NB,0.00926
ZK0CAAA39NB,0.01088
ZK0CAAA43NB,0.008762
ZK0CAAA46NB,0.00493
ZK0CAAA50NB,0.01093
ZK0CAAA52NB,0.01366
ZK0CAAA53NB,0.007554
ZK0CAAA58NB,0.007155
ZK0CAAA59NB,0.01394
ZK0CAAA61NB,0.00989
ZK0CAAA67NB,0.009563
ZK0CAAA68NB,0.01103
ZK0CAAA70NB,0.007872
ZK0CAAA71NB,0.004672
ZK0CAAA79NB,0.005076
ZK0CAAA81NB,0.0
ZK0DAAA01NB,0.009979
ZK0DAAA02NB,0.01092
ZK0DAAA03NB,0.01064
ZK0DAAA04NB,0.00719
ZK0DAAA06NB,0.01292
ZK0DAAA11NB,0.003466
ZK0DAAA15NB,0.009838
ZK0DAAA20NB,0.01087
ZK0DAAA22NB,0.006144
ZK0DAAA24NB,0.01373
ZK0DAAA25NB,0.01005
ZK0DAAA27NB,0.01253
ZK0DAAA32NB,0.01036
ZK0DAAA33NB,0.0066
ZK0DAAA34NB,0.006587
ZK0DAAA35NB,0.009959
ZK0DAAA40NB,0.0
ZK0DAAA45NB,0.008458
ZK0DAAA48NB,0.009699
MEAAAA50,0.04028
MECAAA75,0.4565
MECAAA79,0.1495
MECAAA82,0.4082
MDBAAA53,0.006374
MECAAA85,0.1369
MECAAA90,0.006484
MECAAA88,0.0
MECAAA92,0.0
MECAAA98,0.08888
MDCAAC82,0.009232
MECAAB02,0.0154
MECAAB06,0.07322
MECAAB04,0.02904
MECAAB14,0.4464
MEDAAA36,0.01133
MECAAB13,0.009802
MECAAB20,0.2875
MDGAAI56,0.0169
MECAAB23,0.3501
MDCAAD55,0.01527
MDAAAE68,0.005637
MDAAAF12,0.01183
MDGAAG91,0.01078
MDGAAH47,0.01218
MDGAAH67,0.01172
MDGAAH89,0.01139
MDGAAI34,0.008174
HMAAAA77,0.007433
MDAAAE76,0.01245
MDCAAD19,0.01067
MDGAAH78,0.01251
MDCAAC27,0.03048
MDCAAC31,0.03046
MDGAAI22,0.01137
MDCAAD22,0.009701
